number,greek,english,image
535,η μηχανή (η στεριά),the motorcycle / motorbike (land),assets/535.png
536,το μηχανάκι,the scooter / moped,assets/536.png
537,το ταξί,the taxi,assets/537.png
538,το φορτηγό,the truck,assets/538.png
539,το λεωφορείο,the bus,assets/539.png
540,ο οδηγός,the driver,assets/540.png
541,η στάση,the stop,assets/541.png
542,το μετρό,the metro / subway,assets/542.png
543,το τρένο,the train,assets/543.png
544,ο σταθμός,the station,assets/544.png
545,περιμένω στη στάση,I wait at the stop,assets/545.png
546,παίρνω το λεωφορείο,I take the bus,assets/546.png
547,κατεβαίνω στην επόμενη στάση,I get off at the next stop,assets/547.png
548,φτάνω,I arrive,assets/548.png
549,ο αρχαιολογικός χώρος (η Ακρόπολη),the archaeological site (the Acropolis),assets/549.png
550,η εκδρομή,the excursion / trip,assets/550.png
551,η πρωτεύουσα (η Αθήνα),the capital (Athens),assets/551.png
552,ο ύπνος,sleep,assets/552.png
553,η ξεκούραση,rest,assets/553.png
554,η διασκέδαση (διασκεδάζω),fun / entertainment,assets/554.png
555,οι πληροφορίες,the information,assets/555.png
556,η βαλίτσα,the suitcase,assets/556.png
557,η φωτογραφική μηχανή,the camera,assets/557.png
558,η αγορά,the market,assets/558.png
559,η ταβέρνα (το εστιατόριο),the tavern (restaurant),assets/559.png
560,η παραλία,the beach,assets/560.png
561,το ξενοδοχείο,the hotel,assets/561.png
562,το μεσημεριανό (φαγητό),lunch,assets/562.png
563,το βραδινό (φαγητό),dinner,assets/563.png
564,το λούνα παρκ,the amusement park,assets/564.png
565,έτοιμος,ready,assets/565.png
566,επιστρέφω (η επιστροφή) = γυρίζω,I return = I go back,assets/566.png
567,κάνω στάση,I make a stop,assets/567.png
568,βγάζω φωτογραφίες,I take photos,assets/568.png
569,κρατώ (κρατώ τη φωτογραφική μηχανική),I hold (the camera),assets/569.png
570,η εποχή,the season,assets/570.png
571,ο χειμώνας,the winter,assets/571.png
572,κάνω σκι,I ski,assets/572.png
573,παίζω με το χιόνι,I play with the snow,assets/573.png
574,κάνει κρύο,it is cold,assets/574.png
575,η άνοιξη,the spring,assets/575.png
576,ανθίζουν τα λουλούδια,the flowers bloom,assets/576.png
577,το καλοκαίρι,the summer,assets/577.png
578,κολυμπάω,I swim,assets/578.png
579,κάνω μπάνιο στη θάλασσα,I swim in the sea,assets/579.png
580,το φθινόπωρο,the autumn / fall,assets/580.png
581,ανοίγουν τα σχολεία,the schools open,assets/581.png
582,ο μήνας – οι μήνες,the month – the months,assets/582.png
583,ο Ιανουάριος,January,assets/583.png
584,ο Φεβρουάριος,February,assets/584.png
585,ο Μάρτιος,March,assets/585.png
586,ο Απρίλιος,April,assets/586.png
587,ο Μάιος,May,assets/587.png
588,ο Ιούνιος,June,assets/588.png
589,ο Ιούλιος,July,assets/589.png
590,ο Αύγουστος,August,assets/590.png
591,ο Σεπτέμβριος,September,assets/591.png
592,ο Οκτώβριος,October,assets/592.png
593,ο Νοέμβριος,November,assets/593.png
594,ο Δεκέμβριος,December,assets/594.png
595,οι διακοπές,the holidays / vacation,assets/595.png
596,το νησί,the island,assets/596.png
597,o καιρός,the weather,assets/597.png
598,χιονίζει,it is snowing,assets/598.png
599,έχει (κάνει) κρύο,it is cold,assets/599.png
600,έχει (κάνει) ζέστη,it is hot,assets/600.png
601,έχει ήλιο,it is sunny,assets/601.png
602,βρέχει,it is raining,assets/602.png
603,φυσάει = έχει αέρα,it is windy = there is wind,assets/603.png
604,τα ρούχα,the clothes,assets/604.png
605,ο σκούφος,the beanie / winter hat,assets/605.png
606,το κασκόλ,the scarf,assets/606.png
607,τα γάντια,the gloves,assets/607.png
608,η κοντομάνικη μπλούζα,the short-sleeved shirt,assets/608.png
609,οι σαγιονάρες = οι παντόφλες,the flip-flops = the slippers,assets/609.png
610,το μαγιό,the swimsuit,assets/610.png
611,τα γυαλιά,the glasses,assets/611.png
612,η ομπρέλα,the umbrella,assets/612.png
613,οι μπότες,the boots,assets/613.png
614,το μπουφάν,the jacket,assets/614.png
615,πίνω τσάι,I drink tea,assets/615.png
616,πίνω ζεστή σοκολάτα,I drink hot chocolate,assets/616.png
617,παίζω χιονοπόλεμο,I have a snowball fight,assets/617.png
618,τρώω παγωτό,I eat ice cream,assets/618.png
619,ξεχνώ,I forget,assets/619.png
620,ο γιατρός,the doctor,assets/620.png
621,η συμβουλή,the advice,assets/621.png
622,το φάρμακο (παίρνω φάρμακο),the medicine (I take medicine),assets/622.png
623,πίνω ζεστό τσάι,I drink hot tea,assets/623.png
624,τρώω σούπα,I eat soup,assets/624.png
625,το σώμα,the body,assets/625.png
626,το κεφάλι,the head,assets/626.png
627,το πρόσωπο,the face,assets/627.png
628,το στόμα,the mouth,assets/628.png
629,το δόντι,the tooth,assets/629.png
630,το αυτί (αφτί),the ear,assets/630.png
631,το μάτι,the eye,assets/631.png
632,η μύτη,the nose,assets/632.png
633,το χέρι,the hand,assets/633.png
634,το πόδι,the foot / leg,assets/634.png
635,το δάχτυλο,the finger / toe,assets/635.png
636,ο λαιμός,the neck,assets/636.png
637,η κοιλιά,the belly / stomach,assets/637.png
638,άρρωστος,sick / ill,assets/638.png
639,έχω πυρετό,I have a fever,assets/639.png
640,έχω βήχα,I have a cough,assets/640.png
641,πονάει η κοιλιά μου,my stomach hurts,assets/641.png
642,μυρίζω,I smell,assets/642.png
643,πιάνω,I touch / grab,assets/643.png
644,ξέρω,I know,assets/644.png
645,φτιάχνω,I make,assets/645.png
646,λείπει κάποιος (κάτι),someone / something is missing,assets/646.png
647,πονάει κάτι,something hurts,assets/647.png
648,μαγειρεύω,I cook,assets/648.png
649,η κατσαρόλα,the pot,assets/649.png
650,σκουπίζω,I sweep,assets/650.png
651,η σκούπα,the broom,assets/651.png
652,σφουγγαρίζω,I mop,assets/652.png
653,ο κουβάς,the bucket,assets/653.png
654,η σφουγγαρίστρα,the mop,assets/654.png
655,πλένω τα πιάτα,I wash the dishes,assets/655.png
656,πλένω τα ρούχα = βάζω πλυντήριο,I wash the clothes = I run the washing machine,assets/656.png
657,σιδερώνω,I iron,assets/657.png
658,το σίδερο,the iron,assets/658.png
659,ξεσκονίζω,I dust,assets/659.png
660,καθαρίζω την αυλή,I clean the yard,assets/660.png
661,ταΐζω τα ζώα = βάζω φαγητό στα ζώα,I feed the animals = I give food to the animals,assets/661.png
662,βγάζω βόλτα τον σκύλο,I take the dog for a walk,assets/662.png
663,χτενίζω τη γάτα,I comb the cat,assets/663.png
664,η ρυθμική γυμναστική,rhythmic gymnastics,assets/664.png
665,το γυμναστήριο,the gym,assets/665.png
666,το κορμάκι,the leotard,assets/666.png
667,το καλσόν,the tights,assets/667.png
668,η κορδέλα,the ribbon,assets/668.png
669,τα στεφάνια,the hoops,assets/669.png
670,οι κορίνες,the clubs (gymnastics),assets/670.png
671,κάνω γυμναστική,I exercise / do gymnastics,assets/671.png
672,πετάω τις κορίνες,I throw the clubs,assets/672.png
673,πηδάω σκοινάκι,I jump rope,assets/673.png
674,πέφτω κάτω,I fall down,assets/674.png
675,το μπαλέτο,ballet,assets/675.png
676,η μπαλαρίνα,the ballerina,assets/676.png
677,το ποδόσφαιρο = η μπάλα,soccer = ball,assets/677.png
678,το γήπεδο,the field / stadium,assets/678.png
679,τα αθλητικά παπούτσια,the athletic shoes,assets/679.png
680,οι κάλτσες,the socks,assets/680.png
681,ο αγώνας,the game / match,assets/681.png
682,ο τελικός,the final,assets/682.png
683,η ομάδα,the team,assets/683.png
684,ο παίκτης = ο ποδοσφαιριστής,the player = the soccer player,assets/684.png
685,ο τερματοφύλακας = είμαι στο τέρμα,the goalkeeper = I am in goal,assets/685.png
686,ο διαιτητής,the referee,assets/686.png
687,η κίτρινη κάρτα,the yellow card,assets/687.png
688,η κόκκινη κάρτα,the red card,assets/688.png
689,σφυρίζω με τη σφυρίχτρα,I whistle with the whistle,assets/689.png
690,κλωτσάω τη μπάλα,I kick the ball,assets/690.png
691,είμαι στον πάγκο,I am on the bench,assets/691.png
692,βάζω γκολ,I score a goal,assets/692.png
693,έχω αγωνία,I am anxious / nervous,assets/693.png
694,μόνος,alone,assets/694.png
695,συχνά,often,assets/695.png
696,η σχολή χορού,the dance school,assets/696.png
697,ο μοντέρνος χορός,modern dance,assets/697.png
698,ο παραδοσιακός χορός,traditional dance,assets/698.png
699,το εργαστήρι ζωγραφικής,the art workshop,assets/699.png
700,οι νερομπογιές,watercolors,assets/700.png
701,το πινέλο,the paintbrush,assets/701.png
702,η σχολή μουσικής = το ωδείο,the music school = the conservatory,assets/702.png
703,η κλασική μουσική,classical music,assets/703.png
704,τα μουσικά όργανα,musical instruments,assets/704.png
705,το πιάνο,the piano,assets/705.png
706,το βιολί,the violin,assets/706.png
707,η λαϊκή μουσική,Greek folk/popular music,assets/707.png
708,το μπουζούκι,the bouzouki,assets/708.png
709,ο μπαγλαμάς,the baglamas,assets/709.png
710,η κωμωδία,the comedy,assets/710.png
711,ο/η γραμματέας,the secretary,assets/711.png
712,οι εγγραφές,the registrations / enrollment,assets/712.png
713,το τμήμα = η τάξη,the section = the class,assets/713.png
714,ίδιος,same,assets/714.png
715,μεθαύριο,the day after tomorrow,assets/715.png
716,χθες,yesterday,assets/716.png
717,προχθές,the day before yesterday,assets/717.png
718,πέρυσι,last year,assets/718.png
719,η φύση,nature,assets/719.png
720,ο ποταμός = το ποτάμι,the river,assets/720.png
721,η λίμνη,the lake,assets/721.png
722,το βουνό,the mountain,assets/722.png
723,η φάρμα = το αγρόκτημα,the farm,assets/723.png
724,ο γάιδαρος,the donkey,assets/724.png
725,ο κόκορας,the rooster,assets/725.png
726,η κότα,the hen,assets/726.png
727,η αγελάδα,the cow,assets/727.png
728,η πάπια,the duck,assets/728.png
729,η γάτα-ο γάτος,the cat (female/male),assets/729.png
730,το ποντίκι,the mouse,assets/730.png
731,το γουρούνι,the pig,assets/731.png
732,το πρόβατο,the sheep,assets/732.png
733,το κατσίκι,the goat,assets/733.png
734,το ζωολογικό πάρκο,the zoo,assets/734.png
735,τα ζώα του δάσους,the forest animals,assets/735.png
736,ο παπαγάλος,the parrot,assets/736.png
737,ο κροκόδειλος,the crocodile,assets/737.png
738,ο ελέφαντας,the elephant,assets/738.png
739,ο τίγρης,the tiger,assets/739.png
740,ο λαγός,the hare,assets/740.png
741,η χελώνα,the turtle,assets/741.png
742,η μαϊμού,the monkey,assets/742.png
743,η αλεπού,the fox,assets/743.png
744,η κουκουβάγια,the owl,assets/744.png
745,η αρκούδα,the bear,assets/745.png
746,η καμηλοπάρδαλη,the giraffe,assets/746.png
747,το λιοντάρι,the lion,assets/747.png
748,η ιππασία = κάνω βόλτα με το άλογο,horseback riding = I ride the horse,assets/748.png
749,η διαδρομή,the route,assets/749.png
750,το μέρος (τα μέρη),the place (places),assets/750.png
751,το πράγμα (τα πράγματα),the thing (things),assets/751.png
752,το χώμα,the ground / soil,assets/752.png
753,στρώνω τα πράγματα στο χώμα,I spread/lay the things on the ground,assets/753.png
754,αρκετός,enough / sufficient,assets/754.png
755,τέλειος,perfect,assets/755.png
756,τα λαχανικά,the vegetables,assets/756.png
757,ο αρακάς,the peas,assets/757.png
758,η ντομάτα,the tomato,assets/758.png
759,η πατάτα,the potato,assets/759.png
760,η πιπεριά,the pepper,assets/760.png
761,το αγγούρι,the cucumber,assets/761.png
762,το καρότο,the carrot,assets/762.png
763,το κρεμμύδι,the onion,assets/763.png
764,το λάχανο,the cabbage,assets/764.png
765,τα φασολάκια,the green beans,assets/765.png
766,τα φρούτα,the fruit,assets/766.png
767,η μπανάνα,the banana,assets/767.png
768,η φράουλα,the strawberry,assets/768.png
769,το αχλάδι,the pear,assets/769.png
770,το καρπούζι,the watermelon,assets/770.png
771,το λεμόνι,the lemon,assets/771.png
772,το μήλο,the apple,assets/772.png
773,το πεπόνι,the melon / cantaloupe,assets/773.png
774,το πορτοκάλι,the orange,assets/774.png
775,το σταφύλι,the grape,assets/775.png
776,η λαϊκή αγορά ≠ το μανάβικο (ο μανάβης),the open-air market ≠ the greengrocer's (greengrocer),assets/776.png
777,η χωριάτικη σαλάτα,the Greek village salad,assets/777.png
778,τα υλικά,the ingredients,assets/778.png
779,νόστιμος,tasty / delicious,assets/779.png
780,το κρεοπωλείο,the butcher shop,assets/780.png
781,ο κιμάς,the ground meat,assets/781.png
782,η μπριζόλα,the steak,assets/782.png
783,το κρέας,the meat,assets/783.png
784,το κοτόπουλο,the chicken,assets/784.png
785,το μπιφτέκι,the burger patty,assets/785.png
786,το σουβλάκι,the souvlaki,assets/786.png
787,ο φούρνος,the bakery / oven,assets/787.png
788,το κουλούρι,the koulouri (sesame bread ring),assets/788.png
789,το κρουασάν,the croissant,assets/789.png
790,το ψωμί (μια φέτα ψωμί),the bread (a slice of bread),assets/790.png
791,το σούπερ μάρκετ,the supermarket,assets/791.png
792,η ελιά,the olive,assets/792.png
793,η ζάχαρη,the sugar,assets/793.png
794,το αλάτι,the salt,assets/794.png
795,το αλεύρι,the flour,assets/795.png
796,το βούτυρο,the butter,assets/796.png
797,το γάλα,the milk,assets/797.png
798,το γιαούρτι,the yogurt,assets/798.png
799,το λάδι,the oil,assets/799.png
800,το μέλι,the honey,assets/800.png
801,το πιπέρι,the pepper,assets/801.png
802,το ρύζι,the rice,assets/802.png
803,το τυρί,the cheese,assets/803.png
804,το ψάρι,the fish,assets/804.png
805,τα μακαρόνια,the pasta / macaroni,assets/805.png
806,Καλή όρεξη!,Enjoy your meal!,assets/806.png
807,παραγγέλνω φαγητό,I order food,assets/807.png
808,η κατασκήνωση = το κάμπιγκ,the camp / camping,assets/808.png
809,η κουβέρτα,the blanket,assets/809.png
810,η σκηνή,the tent,assets/810.png
811,το μαξιλάρι,the pillow,assets/811.png
812,το σεντόνι,the bedsheet,assets/812.png
813,το σλίπιγκ μπαγκ,the sleeping bag,assets/813.png
814,το στρώμα,the mattress,assets/814.png
815,ο φακός,the flashlight,assets/815.png
816,η πετσέτα,the towel,assets/816.png
817,το σαμπουάν,the shampoo,assets/817.png
818,το σαπούνι,the soap,assets/818.png
819,το κουτάλι,the spoon,assets/819.png
820,το μαχαίρι,the knife,assets/820.png
821,το (πλαστικό) πιάτο,the (plastic) plate,assets/821.png
822,το πιρούνι,the fork,assets/822.png
823,το (πλαστικό) ποτήρι,the (plastic) cup,assets/823.png
824,το τραπεζομάντηλο,the tablecloth,assets/824.png
825,μαλακός,soft,assets/825.png
826,ανάβω φωτιά,I light a fire,assets/826.png
827,κόβω,I cut,assets/827.png
828,ψήνω στη φωτιά,I cook/grill over the fire,assets/828.png
829,το κυλικείο ≈ η καφετέρια,the school canteen ≈ the cafeteria,assets/829.png
830,η καραμέλα,the candy,assets/830.png
831,η μαστίχα,mastic gum / chewing gum,assets/831.png
832,η σοκολάτα,the chocolate,assets/832.png
833,η τυρόπιτα,the cheese pie,assets/833.png
834,το μπισκότο,the cookie / biscuit,assets/834.png
835,το τοστ,the toast / toasted sandwich,assets/835.png
836,το περιοδικό ≠ η εφημερίδα,the magazine ≠ the newspaper,assets/836.png
837,η συνταγή,the recipe,assets/837.png
838,το περίπτερο,the kiosk / newsstand,assets/838.png
839,υγιεινός,healthy,assets/839.png
840,μασάω μαστίχα,I chew gum,assets/840.png
